,latitude,longitude,acq_date,acq_time
0,-26.051,149.625,2019-11-05,100
1,-26.052,149.62,2019-11-05,100
2,-26.055,149.665,2019-11-05,100
6,-27.961,148.112,2019-11-05,100
7,-27.951999999999998,148.105,2019-11-05,100
224,-30.935,152.016,2019-11-05,340
225,-30.136999999999997,152.55100000000002,2019-11-05,340
226,-29.840999999999998,152.359,2019-11-05,340
227,-29.843000000000004,152.34799999999998,2019-11-05,340
228,-29.833000000000002,152.362,2019-11-05,340
229,-29.835,152.352,2019-11-05,340
230,-29.825,152.286,2019-11-05,340
231,-29.816,152.285,2019-11-05,340
232,-29.804000000000002,152.304,2019-11-05,340
233,-29.805,152.29399999999998,2019-11-05,340
234,-29.795,152.30200000000002,2019-11-05,340
236,-29.551,152.335,2019-11-05,340
237,-29.537,152.375,2019-11-05,340
238,-29.539,152.35399999999998,2019-11-05,340
239,-29.541,152.344,2019-11-05,340
240,-29.322,152.39700000000002,2019-11-05,340
241,-29.323,152.387,2019-11-05,340
242,-29.301,152.415,2019-11-05,340
243,-29.288,152.444,2019-11-05,340
244,-29.289,152.434,2019-11-05,340
245,-29.291999999999998,152.41299999999998,2019-11-05,340
246,-29.294,152.403,2019-11-05,340
247,-29.295,152.392,2019-11-05,340
248,-29.279,152.442,2019-11-05,340
249,-29.28,152.43200000000002,2019-11-05,340
250,-29.281999999999996,152.422,2019-11-05,340
251,-29.249000000000002,151.513,2019-11-05,340
252,-29.250999999999998,151.502,2019-11-05,340
253,-29.234,151.488,2019-11-05,340
254,-29.235,151.477,2019-11-05,340
255,-29.236,151.466,2019-11-05,340
256,-29.238000000000003,151.455,2019-11-05,340
257,-28.612,152.219,2019-11-05,340
258,-28.613000000000003,152.209,2019-11-05,340
259,-28.311,153.477,2019-11-05,340
260,-28.313000000000002,153.467,2019-11-05,340
261,-28.997,147.548,2019-11-05,340
262,-28.230999999999998,151.442,2019-11-05,340
263,-28.233,151.431,2019-11-05,340
264,-27.930999999999997,152.356,2019-11-05,340
265,-27.956999999999997,148.119,2019-11-05,340
266,-27.959,148.10399999999998,2019-11-05,340
268,-26.956999999999997,152.613,2019-11-05,340
269,-26.419,152.58100000000002,2019-11-05,340
270,-26.42,152.571,2019-11-05,340
271,-25.499000000000002,150.487,2019-11-05,340
272,-25.471999999999998,150.472,2019-11-05,340
273,-24.605,151.313,2019-11-05,340
274,-24.406,148.80100000000002,2019-11-05,340
573,-29.930999999999997,152.30700000000002,2019-11-05,1305
574,-29.819000000000003,152.274,2019-11-05,1305
575,-29.804000000000002,152.28799999999998,2019-11-05,1305
576,-29.787,152.305,2019-11-05,1305
577,-29.791,152.285,2019-11-05,1305
578,-29.781999999999996,152.319,2019-11-05,1305
579,-29.785999999999998,152.298,2019-11-05,1305
580,-29.526999999999997,152.344,2019-11-05,1305
584,-29.232,151.48,2019-11-05,1305
585,-29.235,151.46200000000002,2019-11-05,1305
587,-26.31,153.029,2019-11-05,1305
588,-26.271,153.075,2019-11-05,1305
589,-26.307,153.02200000000002,2019-11-05,1305
590,-26.268,153.06799999999998,2019-11-05,1305
656,-26.276999999999997,153.06799999999998,2019-11-05,1440
657,-26.298000000000002,153.042,2019-11-05,1440
658,-29.221999999999998,151.47799999999998,2019-11-05,1440
659,-29.226999999999997,151.501,2019-11-05,1440
660,-29.785999999999998,152.305,2019-11-05,1440
661,-29.798000000000002,152.30200000000002,2019-11-05,1440
662,-29.787,152.298,2019-11-05,1440
663,-29.791,152.317,2019-11-05,1440
664,-29.799,152.295,2019-11-05,1440
666,-29.823,152.285,2019-11-05,1440
667,-30.057,152.622,2019-11-05,1440
669,-30.065,152.632,2019-11-05,1440
691,-26.305,153.03,2019-11-06,5
692,-26.314,153.028,2019-11-06,5
693,-26.315,153.03799999999998,2019-11-06,5
694,-26.323,153.02700000000002,2019-11-06,5
695,-26.324,153.037,2019-11-06,5
696,-26.326,153.047,2019-11-06,5
699,-27.316999999999997,152.97799999999998,2019-11-06,5
700,-27.318,152.989,2019-11-06,5
703,-27.397,149.405,2019-11-06,5
704,-27.517,150.02,2019-11-06,5
705,-27.519000000000002,150.03,2019-11-06,5
706,-28.112,152.424,2019-11-06,5
707,-27.891,149.424,2019-11-06,5
708,-28.613000000000003,152.202,2019-11-06,5
709,-28.615,152.21200000000002,2019-11-06,5
710,-28.622,152.2,2019-11-06,5
711,-29.272,152.447,2019-11-06,5
712,-29.219,151.493,2019-11-06,5
713,-29.230999999999998,151.575,2019-11-06,5
714,-29.225,151.471,2019-11-06,5
715,-29.226,151.481,2019-11-06,5
716,-29.228,151.49200000000002,2019-11-06,5
717,-29.230999999999998,151.512,2019-11-06,5
718,-29.232,151.52200000000002,2019-11-06,5
719,-29.237,151.553,2019-11-06,5
720,-29.232,151.459,2019-11-06,5
721,-29.234,151.469,2019-11-06,5
722,-29.235,151.48,2019-11-06,5
723,-29.237,151.49,2019-11-06,5
724,-29.238000000000003,151.5,2019-11-06,5
725,-29.24,151.51,2019-11-06,5
726,-29.241,151.52100000000002,2019-11-06,5
727,-29.243000000000002,151.531,2019-11-06,5
728,-29.24,151.447,2019-11-06,5
729,-29.241,151.458,2019-11-06,5
730,-29.247,151.435,2019-11-06,5
732,-29.569000000000003,152.33100000000002,2019-11-06,5
733,-29.578000000000003,152.329,2019-11-06,5
734,-28.991,147.559,2019-11-06,5
735,-29.784000000000002,152.296,2019-11-06,5
736,-29.785,152.30700000000002,2019-11-06,5
737,-29.787,152.317,2019-11-06,5
738,-29.793000000000003,152.29399999999998,2019-11-06,5
739,-29.794,152.305,2019-11-06,5
740,-29.796,152.316,2019-11-06,5
741,-29.8,152.282,2019-11-06,5
742,-29.802,152.293,2019-11-06,5
743,-29.808000000000003,152.335,2019-11-06,5
744,-29.809,152.346,2019-11-06,5
745,-29.811,152.291,2019-11-06,5
746,-29.819000000000003,152.279,2019-11-06,5
747,-29.831,152.364,2019-11-06,5
748,-29.84,152.363,2019-11-06,5
750,-29.932,152.296,2019-11-06,5
751,-29.941,152.295,2019-11-06,5
752,-30.051,152.631,2019-11-06,5
753,-30.06,152.629,2019-11-06,5
754,-30.068,152.616,2019-11-06,5
755,-30.069000000000003,152.627,2019-11-06,5
756,-29.967,149.30700000000002,2019-11-06,5
757,-30.180999999999997,149.488,2019-11-06,5
758,-30.750999999999998,152.18,2019-11-06,5
759,-30.308000000000003,148.955,2019-11-06,5
760,-30.31,148.966,2019-11-06,5
761,-30.311999999999998,148.97799999999998,2019-11-06,5
762,-30.319000000000003,148.964,2019-11-06,5
763,-30.842,152.312,2019-11-06,5
764,-30.974,152.46200000000002,2019-11-06,5
765,-30.975,152.47299999999998,2019-11-06,5
766,-30.980999999999998,152.465,2019-11-06,5
768,-30.930999999999997,152.029,2019-11-06,5
769,-30.941,152.03799999999998,2019-11-06,5
770,-30.945999999999998,152.07,2019-11-06,5
771,-30.976,152.08700000000002,2019-11-06,5
772,-30.978,152.09799999999998,2019-11-06,5
773,-31.017,152.113,2019-11-06,5
774,-31.025,152.116,2019-11-06,5
775,-31.253,152.563,2019-11-06,5
778,-33.105,150.451,2019-11-06,5
779,-33.775999999999996,150.957,2019-11-06,5
780,-33.817,150.797,2019-11-06,5
781,-33.86,150.968,2019-11-06,5
782,-33.938,150.935,2019-11-06,5
984,-28.996,147.55200000000002,2019-11-06,425
985,-27.522,150.013,2019-11-06,425
986,-27.396,150.165,2019-11-06,425
987,-27.388,150.186,2019-11-06,425
988,-26.101999999999997,149.993,2019-11-06,425
989,-26.108,149.966,2019-11-06,425
990,-26.101,149.988,2019-11-06,425
991,-26.107,149.96,2019-11-06,425
1094,-33.174,148.718,2019-11-06,420
1095,-31.146,152.27,2019-11-06,420
1096,-31.153000000000002,152.24,2019-11-06,420
1097,-31.131,152.266,2019-11-06,420
1098,-31.138,152.236,2019-11-06,420
1099,-31.191,151.997,2019-11-06,420
1100,-31.131999999999998,152.259,2019-11-06,420
1101,-31.138,152.22799999999998,2019-11-06,420
1104,-31.05,152.139,2019-11-06,420
1105,-31.021,152.131,2019-11-06,420
1106,-31.026999999999997,152.10399999999998,2019-11-06,420
1108,-31.045,152.162,2019-11-06,420
1109,-31.051,152.136,2019-11-06,420
1110,-31.022,152.127,2019-11-06,420
1111,-31.028000000000002,152.1,2019-11-06,420
1112,-31.008000000000003,152.122,2019-11-06,420
1113,-31.014,152.096,2019-11-06,420
1114,-30.985,152.085,2019-11-06,420
1115,-30.971,152.078,2019-11-06,420
1116,-30.979,152.106,2019-11-06,420
1117,-30.985,152.077,2019-11-06,420
1118,-30.949,152.031,2019-11-06,420
