region,2017-18,2018-19,change,% change
Sub-Saharan Africa,108.2,121.1,12.9,11.92236599
Middle East and North Africa,145.4,137.4,-8,-5.502063274
Latin America and the Caribbean,5.9,5.9,0,0
Pacific Regional,127.3,261.3,134,105.2631579
South-East and East Asia Regional,53.8,238.3,184.5,342.936803
South and West Asia Regional,25.4,26.9,1.5,5.905511811
