region,2017-18,2018-19,change,%_change,lat,lon
Papua New Guinea,472.9,519.5,46.6,9.854091774,-6,147
Solomon Islands,92.7,146.1,53.4,57.60517799,-8,159
Vanuatu,41.9,41.9,0,0,-16,167
Fiji,40.4,35,-5.4,-13.36633663,-18,175
Samoa,23.6,23.6,0,0,-13.5833,-172.3333
Nauru,21.2,21.2,0,0,-0.5333,166.9167
Kiribati,20.2,20.2,0,0,1.4167,173
Tonga,17.6,17.6,0,0,-20,-175
Tuvalu,6.6,6.6,0,0,-8,178
Cook Islands,1.9,1.9,0,0,-21.2333,-159.7667
Niue & Tokelau,1.8,1.8,0,0,-19.0333,-169.8667
Indonesia,296,266.4,-29.6,-10,-5,120
Timor-Leste,68,73,5,7.352941176,-8.55,125.5167
Phillipines,67,67,0,0,13,122
Vietnam,58.4,58.4,0,0,16,106
Cambodia,62.4,56.1,-6.3,-10.09615385,13,105
Myanmar,42.1,42.1,0,0,22,98
Laos,20.6,20.6,0,0,18,105
Mongolia,5.9,5.9,0,0,46,105
Afghanistan,80,80,0,0,33,65
Bangladesh,42.1,42.1,0,0,24,90
Pakistan,39.4,39.4,0,0,30,70
Sri Lanka,19.9,19.9,0,0,7,81
Nepal,15.6,15.6,0,0,28,84
Bhutan,2.1,2.1,0,0,27.5,90.5
Maldives,1.8,1.8,0,0,3.25,73
