purpose,status,date,lat,lon
exploration,plugged and abandoned,1992-10-23,-33.234165,151.50017
exploration,plugged and abandoned,1992-10-31,-32.854361,151.641703
exploration,plugged and abandoned,1992-11-02,-24.810914,150.018032
exploration,plugged and abandoned,1992-11-09,-24.809803,150.018588
exploration,plugged and abandoned,1992-11-13,-24.810358,150.018866
exploration,suspended/capped/shut-in,1992-11-17,-21.351453,148.064722
exploration,plugged and abandoned,1992-11-19,-23.874565,148.929767
exploration,plugged and abandoned,1992-12-02,-33.896507,150.660579
exploration,plugged and abandoned,1993-02-04,-34.279839,150.67901
exploration,plugged and abandoned,1993-02-04,-34.27978617,150.6790062
exploration,plugged and abandoned,1993-04-01,-33.638706,150.67805
exploration,plugged and abandoned,1993-04-08,-21.619622,148.38683
exploration,plugged and abandoned,1993-05-01,-21.651667,148.305783
exploration,plugged and abandoned,1993-05-13,-21.302467,147.950731
exploration,suspended/capped/shut-in,1993-05-19,-32.099304,151.96902
exploration,plugged and abandoned,1993-05-27,-21.516666,148.140714
exploration,suspended/capped/shut-in,1993-06-15,-21.831041,148.059453
exploration,plugged and abandoned,1993-06-21,-33.970225,151.230056
exploration,suspended/capped/shut-in,1993-07-11,-21.837039,148.025391
exploration,plugged and abandoned,1993-07-29,-23.067338,144.766414
exploration,plugged and abandoned,1993-07-30,-21.961042,148.252028
exploration,plugged and abandoned,1993-08-13,-22.089383,148.146047
exploration,plugged and abandoned,1993-08-27,-22.214758,148.226522
exploration,water bore,1993-08-29,-22.907178,144.571994
exploration,plugged and abandoned,1993-08-30,-32.099484,151.969022
exploration,plugged and abandoned,1993-09-06,-24.804575,150.018324
exploration,plugged and abandoned,1993-09-11,-22.432555,148.371424
exploration,plugged and abandoned,1993-09-23,-22.97776,145.529888
exploration,plugged and abandoned,1993-09-26,-24.8037,150.017751
exploration,plugged and abandoned,1993-09-27,-22.257783,148.299483
exploration,plugged and abandoned,1993-10-02,-24.804164,150.019385
exploration,plugged and abandoned,1993-10-08,-24.804839,150.017855
exploration,plugged and abandoned,1993-10-13,-24.803414,150.017849
exploration,plugged and abandoned,1993-10-19,-21.997086,148.122185
exploration,plugged and abandoned,1993-10-19,-21.53427,145.215617
exploration,plugged and abandoned,1993-10-20,-31.49401,150.525109
exploration,plugged and abandoned,1993-10-21,-24.804258,150.018505
exploration,plugged and abandoned,1993-10-28,-21.533845,145.215615
exploration,plugged and abandoned,1993-11-05,-23.403435,148.419156
exploration,suspended/capped/shut-in,1993-11-07,-25.399966,148.815444
exploration,plugged and abandoned,1993-11-11,-32.693985,151.015881
exploration,plugged and abandoned,1993-11-23,-24.804253,150.018024
exploration,plugged and abandoned,1993-12-03,-23.076847,144.723558
exploration,plugged and abandoned,1994-02-16,-33.89588,151.193868
exploration,plugged and abandoned,1994-03-20,-33.858768,150.65237
exploration,plugged and abandoned,1994-04-27,-33.235178,151.495261
exploration,plugged and abandoned,1994-05-27,-21.961042,148.251427
exploration,plugged and abandoned,1994-06-13,-21.298913,147.964373
exploration,suspended/capped/shut-in,1994-06-30,-21.302357,147.951262
exploration,suspended/capped/shut-in,1994-07-17,-21.888634,148.025014
exploration,suspended/capped/shut-in,1994-08-01,-25.614019,148.959464
exploration,plugged and abandoned,1994-08-01,-26.002258,150.081813
exploration,suspended/capped/shut-in,1994-08-14,-22.086161,148.160069
exploration,suspended/capped/shut-in,1994-09-08,-25.622633,148.956386
exploration,suspended/capped/shut-in,1994-09-23,-22.002106,148.109959
exploration,producing,1994-10-20,-24.803103,150.010406
exploration,plugged and abandoned,1994-10-26,-24.805081,150.011922
exploration,producing,1994-11-01,-24.802253,150.014531
exploration,suspended/capped/shut-in,1994-11-02,-24.650733,149.070735
exploration,plugged and abandoned,1994-11-12,-24.8066,150.009286
exploration,plugged and abandoned,1994-11-15,-24.516747,149.937478
exploration,plugged and abandoned,1994-11-21,-24.679246,150.018309
exploration,producing,1994-11-24,-24.804547,150.011903
exploration,plugged and abandoned,1994-12-02,-32.763329,151.076906
exploration,plugged and abandoned,1994-12-05,-24.506192,149.946922
exploration,suspended/capped/shut-in,1994-12-09,-25.605831,148.957356
exploration,producing,1994-12-10,-24.806136,150.013517
exploration,suspended/capped/shut-in,1994-12-21,-25.613772,148.945797
exploration,suspended/capped/shut-in,1995-01-07,-25.596219,148.95885
exploration,suspended/capped/shut-in,1995-01-19,-25.604478,148.947891
exploration,suspended/capped/shut-in,1995-01-29,-25.604481,148.933694
exploration,plugged and abandoned,1995-02-09,-31.439536,150.038823
exploration,suspended/capped/shut-in,1995-02-11,-25.692091,148.874285
exploration,plugged and abandoned,1995-02-26,-27.141994,150.704872
