id,date,Latitude,Longitude,Total_Dead_Mean,Coloniser_Dead_Mean,Aborig_Dead_Mean
1485,1849-05-01,-28.952,151.545,8,0,8
1486,1849-06-01,-24.901,152.278,60,0,60
1487,1849-07-20,-27.963,148.868,20,0,20
1488,1850-03-04,-26.633,150.004,8,0,8
1489,1850-10-01,-26.633,150.005,13,0,13
1490,1851-12-24,-25.599,153.09,8,0,8
1491,1852-05-05,-27.146,149.056,8,0,8
1492,1852-09-20,-27.715,150.223,8,0,8
1493,1852-11-01,-26.633,150.006,8,0,8
1494,1854-11-01,-25.537,152.725,8,0,8
1495,1856-01-01,-30.816,152.356,8,0,8
1496,1858-04-15,-27.251,152.909,8,0,8
1497,1857-10-27,-25.757,149.407,11,11,0
1498,1855-12-26,-23.829,150.989,6,6,0
1499,1837-11-01,-29.554,150.306,200,0,200
1500,1827-03-01,-32.563,151.62,12,0,12
1501,1838-01-08,-29.526,150.334,9,0,9
1502,1835-01-01,-30.645,150.85,8,0,8
1503,1832-12-22,-27.399,153.455,8,0,8
1504,1853-12-31,-28.859,153.586,30,0,30
1505,1845-09-01,-31.134,147.581,10,0,10
1506,1846-08-01,-31.923,147.189,6,0,6
1507,1843-01-01,-29.113,153.445,100,0,100
1508,1841-01-01,-29.952,146.84,31,2,30
1509,1859-01-01,-29.967,146.855,20,0,20
1510,1861-01-01,-29.967,146.855,20,0,20
1511,1870-01-01,-29.835,146.906,400,0,400
1512,1839-11-11,-34.123,141.931,6,0,6
1513,1900-07-20,-31.737,148.749,8,8,0
1514,1834-01-01,-32.007,152.185,8,0,8
1515,1835-01-01,-32.06,151.485,10,0,10
1516,1857-11-01,-25.757,149.407,90,0,90
1517,1834-08-01,-10.085,142.164,11,11,0
1518,1859-11-01,-23.314,150.485,9,1,8
1519,1860-03-01,-26.509,152.338,15,0,15
1520,1860-11-06,-23.314,150.484,10,2,8
1521,1861-10-17,-23.974,147.907,20,20,0
1522,1861-10-19,-25.654,148.914,10,0,10
1523,1861-11-26,-24.235,149.215,60,0,60
1524,1861-12-10,-24.186,149.483,10,0,10
1525,1863-10-30,-19.891,142.339,12,0,12
1526,1864-10-15,-10.725,142.592,6,0,6
1527,1866-10-01,-21.737,146.745,9,0,9
1528,1866-06-21,-23.257,150.148,6,0,6
1529,1869-06-01,-10.69,142.12,4,4,0
1530,1870-01-20,-18.084,146.003,10,4,6
1531,1862-02-01,-26.457,153.081,25,0,25
1532,1862-08-01,-27.086,152.955,8,0,8
1533,1861-10-25,-23.905,147.795,30,0,30
1534,1879-01-01,-15.451,145.234,28,0,28
1535,1884-10-01,-17.443,145.221,6,0,6
1536,1887-01-01,-17.602,140.948,6,0,6
1537,1902-01-01,-12.017,142.166,6,0,6
1538,1867-01-01,-23.248,150.183,6,0,6
1539,1872-03-01,-17.906,146.097,14,14,0
1540,1872-03-12,-17.944,146.091,45,0,45
1541,1872-03-15,-17.906,146.097,44,0,44
1542,1884-09-01,-19.502,140.435,20,0,20
1543,1879-01-01,-21.582,140.584,100,0,100
1544,1873-11-03,-15.245,144.68,80,0,80
1545,1880-01-01,-16.675,145.277,6,0,6
1546,1918-01-01,-17.046,139.496,11,0,11
1547,1872-01-01,-18.229,145.54,11,0,11
1548,1865-01-01,-28.179,143.356,300,0,300
1549,1872-01-01,-25.668,140.768,100,0,100
1550,1884-01-01,-17.273,145.589,20,0,20
1551,1861-01-01,-28.037,152.67,40,0,40
1552,1862-09-01,-25.888,146.08,29,0,29
1553,1861-01-01,-26.367,152.361,10,0,10
1554,1895-01-01,-26.685,139.504,40,0,40
1555,1895-01-01,-26.139,139.313,41,1,40
1556,1840-06-01,-34.049,141.279,8,0,8
1557,1840-07-01,-35.782,139.306,32,26,6
1558,1842-05-01,-33.937,136.573,8,0,8
1559,1844-07-10,-33.538,138.857,6,0,6
1560,1841-05-01,-33.961,140.887,9,0,9
1561,1839-12-01,-34.046,141.277,8,0,8
1562,1848-11-01,-36.942,140.14,9,0,9
1563,1852-03-01,-31.342,138.553,50,0,50
1564,1849-05-01,-34.1,135.696,8,0,8
1565,1888-12-31,-26.574,139.226,40,0,40
1566,1849-05-27,-33.645,134.885,105,0,105
1567,1875-08-08,-13.341,135.866,46,1,45
1568,1874-02-22,-21.499,133.9,72,2,70
1570,1878-01-01,-14.217,131.951,18,1,17
1571,1884-11-13,-23.4,132.673,7,0,7
1572,1884-09-02,-13.713,130.687,89,4,85
1573,1892-01-01,-16.8,135.883,65,1,64
1574,1904-01-01,-15.225,134.079,35,0,35
1575,1904-01-01,-14.818,134.587,8,8,0
1576,1928-08-01,-22.084,132.506,56,1,55
1577,1928-08-01,-22.094,132.516,65,0,65
1578,1893-01-01,-11.429,132.882,4,6,1
1579,1917-01-01,-19.648,134.19,15,0,15
1580,1924-12-31,-25.244,132.91,70,0,70
1581,1892-12-31,-12.104,134.911,100,0,100
1582,1894-07-05,-17.985,135.534,38,3,35
1583,1911-01-01,-12.816,136.057,35,0,35
1584,1922-12-31,-17.473,130.826,35,0,35
1585,1894-07-05,-17.97,137.16,38,3,35
1586,1884-08-07,-22.585,133.139,15,0,15
wa1,1830-05-01,-32.05,115.75,8,0,8
wa10,1916-01-01,-18.69,123.69,350,0,350
wa11,1922-10-01,-18.83,128.18,10,0,10
wa12,1924-01-01,-17.26,127.47,6,0,6
wa13,1926-06-01,-15.17,127.85,16,0,16
wa14,1906-12-31,-20.55,127.11,55,0,55
wa16,1880-01-01,-33.58,120.05,33,0,33
wa17,1836-08-01,-31.87,116.79,15,0,15
wa2,1834-10-25,-32.63,115.87,61,1,60
wa3,1841-02-01,-33.51,115.32,10,1,9
wa4,1865-02-01,-32.05,115.75,23,3,20
wa5,1868-02-07,-20.52,116.83,108,3,105
wa6,1887-01-01,-18.22,127.68,7,0,7
wa7,1893-01-01,-16.23,128.52,53,0,53
wa8,1915-01-01,-16.95,128.20,8,0,8
